booking_id,ship,booking_date,sailing_date,occupants,total_fare,cabin_type
1000000000,Sea Voyager,2025-03-22 20:42:26.681996,2025-09-12 20:42:26.681996,3,451.19,Balcony
1000000001,Sea Voyager,2025-05-16 20:42:26.682065,2025-05-10 20:42:26.682065,2,4401.35,Balcony
1000000002,Sea Voyager,2025-07-29 20:42:26.682076,2025-07-25 20:42:26.682076,3,5355.88,Interior
1000000003,Atlantic Dream,2025-08-10 20:42:26.682085,2025-11-17 20:42:26.682085,2,4144.75,Balcony
1000000004,Sea Voyager,2026-03-04 20:42:26.682092,2026-06-30 20:42:26.682092,3,4766.32,Interior
1000000005,Oceanic Explorer,2025-12-21 20:42:26.682099,2026-04-30 20:42:26.682099,2,4298.57,Oceanview
1000000006,Atlantic Dream,2025-08-04 20:42:26.682104,2025-09-04 20:42:26.682104,2,1338.12,Interior
1000000007,,2025-10-22 20:42:26.682108,2025-12-11 20:42:26.682108,1,5052.05,Balcony
1000000008,Sea Voyager,2025-10-14 20:42:26.682113,2026-02-03 20:42:26.682113,3,5070.01,Balcony
1000000009,Sea Voyager,2026-01-16 20:42:26.682119,2026-06-11 20:42:26.682119,3,2139.67,Balcony
1000000010,Atlantic Dream,2025-04-09 20:42:26.682126,2025-07-26 20:42:26.682126,4,4364.56,Interior
1000000011,Atlantic Dream,2025-04-06 20:42:26.682134,2025-07-10 20:42:26.682134,3,8069.47,Balcony
1000000012,Oceanic Explorer,2025-10-29 20:42:26.682140,2025-12-20 20:42:26.682140,3,7349.14,Interior
1000000013,Atlantic Dream,2025-10-04 20:42:26.682147,2025-10-03 20:42:26.682147,2,9537.92,Interior
1000000014,Atlantic Dream,2025-11-10 20:42:26.682152,2025-12-25 20:42:26.682152,4,3239.21,Interior
1000000015,Atlantic Dream,2025-04-09 20:42:26.682161,2025-09-18 20:42:26.682161,1,5511.54,Balcony
1000000016,Atlantic Dream,2026-01-10 20:42:26.682165,2026-07-17 20:42:26.682165,1,337.21,Balcony
1000000017,Oceanic Explorer,2025-04-24 20:42:26.682169,2025-09-23 20:42:26.682169,1,4745.0,Interior
1000000018,Oceanic Explorer,2025-11-29 20:42:26.682173,2026-02-17 20:42:26.682173,3,1052.31,Balcony
1000000019,Sea Voyager,2025-08-04 20:42:26.682179,2026-01-27 20:42:26.682179,1,9673.33,Oceanview
1000000020,Oceanic Explorer,2025-10-28 20:42:26.682183,2026-02-04 20:42:26.682183,4,4597.23,Oceanview
1000000021,Oceanic Explorer,2025-08-28 20:42:26.682191,2026-02-17 20:42:26.682191,2,8026.42,Oceanview
1000000022,Sea Voyager,2025-05-12 20:42:26.682196,2025-11-08 20:42:26.682196,1,224.56,Balcony
1000000023,Oceanic Explorer,2025-11-12 20:42:26.682200,2026-01-13 20:42:26.682200,2,2137.87,Balcony
1000000024,Atlantic Dream,2026-01-06 20:42:26.682206,2026-05-25 20:42:26.682206,1,3263.43,Balcony
1000000025,Sea Voyager,2025-05-24 20:42:26.682212,2025-07-01 20:42:26.682212,2,6418.42,Interior
1000000026,Atlantic Dream,2025-08-09 20:42:26.682217,2025-08-16 20:42:26.682217,1,695.03,Interior
1000000027,Oceanic Explorer,2025-09-05 20:42:26.682221,2026-02-27 20:42:26.682221,2,9154.31,Balcony
1000000028,Atlantic Dream,2025-06-08 20:42:26.682228,2025-11-24 20:42:26.682228,1,2755.34,Oceanview
1000000029,Atlantic Dream,2025-06-15 20:42:26.682232,2025-08-19 20:42:26.682232,2,6199.49,Interior
1000000030,Atlantic Dream,2026-03-03 20:42:26.682237,2026-06-20 20:42:26.682237,4,9999.1,Balcony
1000000031,Oceanic Explorer,2025-03-21 20:42:26.682245,2025-07-20 20:42:26.682245,2,3285.47,Balcony
1000000032,Sea Voyager,2025-12-25 20:42:26.682251,2026-05-16 20:42:26.682251,3,4006.57,Interior
1000000033,Sea Voyager,2026-01-10 20:42:26.682257,2026-05-17 20:42:26.682257,4,3266.19,Oceanview
1000000034,Oceanic Explorer,2025-06-08 20:42:26.682266,2025-12-04 20:42:26.682266,3,2644.29,Balcony
1000000035,Atlantic Dream,2026-01-13 20:42:26.682272,2026-03-21 20:42:26.682272,3,4037.4,Balcony
1000000036,Oceanic Explorer,2025-12-08 20:42:26.682278,2026-01-14 20:42:26.682278,2,5108.76,Interior
1000000037,Oceanic Explorer,2025-08-30 20:42:26.682286,2025-10-16 20:42:26.682286,3,214.39,Balcony
1000000038,Atlantic Dream,2025-07-26 20:42:26.682292,2025-11-10 20:42:26.682292,1,7722.24,Balcony
1000000039,Oceanic Explorer,2025-10-06 20:42:26.682295,2025-11-27 20:42:26.682295,1,1652.87,Balcony
1000000040,Sea Voyager,2025-12-28 20:42:26.682299,2026-02-04 20:42:26.682299,2,8457.32,Interior
1000000041,Atlantic Dream,2026-01-08 20:42:26.682304,2026-03-16 20:42:26.682304,3,3698.75,Balcony
1000000042,Sea Voyager,2025-04-20 20:42:26.682311,2025-10-14 20:42:26.682311,2,9955.45,Balcony
1000000043,Oceanic Explorer,2025-10-14 20:42:26.682316,2026-04-16 20:42:26.682316,4,7784.58,Balcony
1000000044,Atlantic Dream,2026-02-27 20:42:26.682325,2026-08-15 20:42:26.682325,3,2354.58,Oceanview
1000000045,Atlantic Dream,2025-07-18 20:42:26.682331,2025-09-07 20:42:26.682331,4,9042.83,Balcony
1000000046,Sea Voyager,2025-11-30 20:42:26.682340,2026-02-07 20:42:26.682340,4,4094.29,Interior
1000000047,Oceanic Explorer,2025-11-16 20:42:26.682348,2026-04-06 20:42:26.682348,3,8447.64,Suite
1000000048,Atlantic Dream,2025-09-02 20:42:26.682354,2026-01-24 20:42:26.682354,3,2517.83,Balcony
1000000049,Oceanic Explorer,2025-11-29 20:42:26.682361,2026-01-03 20:42:26.682361,4,3624.26,Balcony
1000000050,Atlantic Dream,2025-11-15 20:42:26.682371,2025-12-15 20:42:26.682371,3,8327.69,Balcony
1000000051,Oceanic Explorer,2025-05-03 20:42:26.682378,2025-07-06 20:42:26.682378,1,6578.99,Balcony
1000000052,Sea Voyager,2025-10-17 20:42:26.682383,2025-10-22 20:42:26.682383,1,6438.43,Interior
1000000053,,2025-06-25 20:42:26.682387,2026-01-02 20:42:26.682387,2,6018.59,Balcony
1000000054,Oceanic Explorer,2025-10-06 20:42:26.682393,2026-03-16 20:42:26.682393,4,2782.48,Oceanview
1000000055,Sea Voyager,2025-05-28 20:42:26.682402,2025-06-26 20:42:26.682402,3,6966.31,Balcony
1000000056,Sea Voyager,2025-12-01 20:42:26.682410,2026-04-27 20:42:26.682410,4,7288.6,Oceanview
1000000057,Atlantic Dream,2025-06-25 20:42:26.682417,2025-08-20 20:42:26.682417,4,5617.93,Balcony
1000000058,Oceanic Explorer,2025-08-03 20:42:26.682425,2025-09-10 20:42:26.682425,1,3173.18,Interior
1000000059,Oceanic Explorer,2025-03-21 20:42:26.682429,2025-09-28 20:42:26.682429,3,520.66,Balcony
1000000060,Sea Voyager,2025-12-04 20:42:26.682436,2026-02-01 20:42:26.682436,1,719.97,Suite
1000000061,Oceanic Explorer,2026-02-03 20:42:26.682441,2026-05-01 20:42:26.682441,2,939.49,Balcony
1000000062,Atlantic Dream,2025-10-17 20:42:26.682446,2026-04-10 20:42:26.682446,4,1816.33,Oceanview
1000000063,Oceanic Explorer,2025-08-20 20:42:26.682453,2025-08-16 20:42:26.682453,2,2690.27,Oceanview
1000000064,Oceanic Explorer,2025-10-19 20:42:26.682458,2025-10-23 20:42:26.682458,2,210.74,Balcony
1000000065,Sea Voyager,2025-07-06 20:42:26.682463,2026-01-19 20:42:26.682463,1,2058.91,Balcony
1000000066,Sea Voyager,2026-02-19 20:42:26.682467,2026-03-15 20:42:26.682467,2,4991.52,Oceanview
1000000067,Oceanic Explorer,2025-12-14 20:42:26.682472,2026-05-20 20:42:26.682472,1,9881.5,Oceanview
1000000068,Atlantic Dream,2025-03-22 20:42:26.682476,2025-09-21 20:42:26.682476,3,4085.53,Balcony
1000000069,Atlantic Dream,2025-09-12 20:42:26.682486,2025-12-22 20:42:26.682486,1,9596.31,Balcony
1000000070,Oceanic Explorer,2025-08-16 20:42:26.682489,2025-11-16 20:42:26.682489,4,1980.47,Oceanview
1000000071,Sea Voyager,2025-03-27 20:42:26.682497,2025-04-12 20:42:26.682497,1,4778.23,Balcony
1000000072,Oceanic Explorer,2025-09-23 20:42:26.682504,2025-10-24 20:42:26.682504,4,3445.35,Balcony
1000000073,Oceanic Explorer,2025-04-17 20:42:26.682511,2025-09-11 20:42:26.682511,3,3991.33,Interior
1000000074,Atlantic Dream,2026-02-24 20:42:26.682519,2026-06-03 20:42:26.682519,1,7473.03,Balcony
1000000075,Atlantic Dream,2026-01-29 20:42:26.682522,2026-03-14 20:42:26.682522,2,2514.67,Interior
1000000076,Sea Voyager,2025-05-04 20:42:26.682529,2025-10-05 20:42:26.682529,2,3987.6,Balcony
1000000077,Sea Voyager,2025-08-30 20:42:26.682534,2025-11-12 20:42:26.682534,1,5958.55,Suite
1000000078,Sea Voyager,2025-11-02 20:42:26.682538,2025-12-04 20:42:26.682538,1,8329.0,Balcony
1000000079,Atlantic Dream,2025-10-05 20:42:26.682541,2026-02-03 20:42:26.682541,1,9105.13,Oceanview
1000000080,Oceanic Explorer,2025-10-29 20:42:26.682546,2026-01-11 20:42:26.682546,3,483.95,Balcony
1000000081,Sea Voyager,2025-12-27 20:42:26.682552,2026-02-26 20:42:26.682552,3,7439.05,Balcony
1000000082,Oceanic Explorer,2025-05-28 20:42:26.682559,2025-06-27 20:42:26.682559,3,9411.13,Balcony
1000000083,Oceanic Explorer,2026-03-17 20:42:26.682565,2026-08-21 20:42:26.682565,2,925.73,Balcony
1000000084,Sea Voyager,2025-12-13 20:42:26.682571,2026-06-11 20:42:26.682571,3,330.56,Balcony
1000000085,Atlantic Dream,2025-03-26 20:42:26.682577,2025-06-09 20:42:26.682577,3,7373.88,Balcony
1000000086,Sea Voyager,2025-12-03 20:42:26.682583,2026-05-02 20:42:26.682583,1,4829.27,Balcony
1000000087,,2025-07-25 20:42:26.682587,2025-09-19 20:42:26.682587,4,9317.45,Interior
1000000088,Sea Voyager,2025-08-11 20:42:26.682595,2025-12-12 20:42:26.682595,1,4802.66,Balcony
1000000089,Atlantic Dream,2026-03-19 20:42:26.682598,2026-09-09 20:42:26.682598,2,1178.74,Balcony
1000000090,Sea Voyager,2025-09-20 20:42:26.682606,2025-10-08 20:42:26.682606,1,7073.1,Balcony
1000000091,Sea Voyager,2025-11-09 20:42:26.682609,2026-02-24 20:42:26.682609,4,3305.13,Balcony
1000000092,Oceanic Explorer,2026-03-08 20:42:26.682619,2026-08-01 20:42:26.682619,2,2955.29,Interior
1000000093,Atlantic Dream,2025-10-23 20:42:26.682624,2026-03-08 20:42:26.682624,4,8758.31,Balcony
1000000094,Oceanic Explorer,2025-09-07 20:42:26.682637,2025-09-17 20:42:26.682637,1,6336.89,Balcony
1000000095,Sea Voyager,2025-08-11 20:42:26.682642,2026-02-24 20:42:26.682642,3,2931.12,Balcony
1000000096,Atlantic Dream,2025-11-15 20:42:26.682648,2026-04-21 20:42:26.682648,3,878.23,Balcony
1000000097,Oceanic Explorer,2025-03-25 20:42:26.682654,2025-07-02 20:42:26.682654,3,2559.88,Interior
1000000098,Oceanic Explorer,2025-09-01 20:42:26.682661,2026-02-11 20:42:26.682661,4,5148.06,Oceanview
1000000099,Atlantic Dream,2025-08-02 20:42:26.682669,2026-02-06 20:42:26.682669,4,896.38,Balcony
